Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.115,muertes.total
8207,3,,,2,,,1,,,,,,,,,2,1,,,,,,,,,1,1,,,,,1,2,,,,,,1,,,,,,,,,1,1,,1,,1,,1,2,,,1,,,2,1,1,1,1,1,,2,,,,2,1,2,1,1,2,,3,3,1,,4,1,3,1,1,,,1,1,,,,,1,,,,,1,,,,,,,,,,,,62
8301,33,3,2,1,,2,1,1,1,,1,1,,,1,2,,,,4,,4,3,1,,,4,,1,3,4,1,1,5,8,3,3,1,2,4,3,8,2,4,7,6,3,8,9,11,5,7,7,12,9,13,9,12,8,7,10,15,18,13,22,10,15,16,18,15,22,14,24,20,11,11,14,12,20,23,19,21,24,19,14,18,21,11,14,17,5,15,13,7,6,6,5,4,1,,1,,1,2,,,,,,,,,,818
8302,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,1,,,,1,,,,1,,1,,1,1,,,1,,2,,1,1,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,21
8303,4,,,,,,,,,,,,,,,1,,,1,,3,1,,1,,,,,,,,,1,,,1,1,,1,,1,1,1,1,2,,,2,3,2,,1,,1,1,1,,2,,,2,,1,3,1,1,7,1,2,4,6,3,5,4,6,2,6,3,2,2,5,5,4,8,,2,4,3,,3,2,3,,4,2,,,1,1,1,,,,1,,,,,,,,,,144
8304,4,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,2,,1,,1,,1,1,2,1,2,1,1,5,2,1,1,1,1,,1,2,,,4,1,2,2,2,2,3,4,3,6,2,3,5,6,2,4,1,4,3,4,3,3,5,2,4,3,4,2,3,2,4,2,6,3,,2,,,1,1,,,,,,,,,,,,,,,,148
8305,3,1,2,1,,,,,,,,,,,1,1,1,1,1,,1,2,,,,,,,1,,,2,1,,,,,,,1,2,,3,,2,,1,,,2,3,2,,3,1,,1,1,5,2,2,1,4,1,3,5,3,1,4,3,7,6,5,1,2,4,3,4,4,3,6,3,4,4,6,4,4,1,1,3,2,4,2,1,1,1,2,,1,,,1,,,,,,,,,,,,165
8306,2,,,,,,,,,1,1,,,,,,,,,1,,,1,2,,1,2,,,,1,1,1,1,1,,,1,1,,1,,1,3,,2,1,4,1,,1,3,2,,1,1,2,3,2,4,2,4,,3,4,2,2,2,,1,5,4,3,7,6,3,6,3,1,3,2,3,4,2,8,4,3,3,2,4,2,1,1,1,,,2,,,1,,,,,,,,,,,,,,154
8307,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,2,,,1,1,1,1,1,,1,,,,,1,,1,,2,,,,1,,,1,2,2,,,,3,1,2,1,,3,1,1,1,,5,2,,2,1,3,2,1,,2,,,1,1,1,1,,,,,,,,,,,,,,,1,,,61
8308,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,,1,,,,,,,,,,,1,2,1,2,1,,1,,,,,1,2,,1,,,,2,,,1,1,,,1,1,1,,,,,,,,,,,,,,,25
8309,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,1,,,,,1,,2,,,,1,1,1,,1,,1,1,2,,2,,1,1,,1,1,3,,3,5,2,4,,3,3,1,2,3,2,2,1,1,,1,2,1,2,1,1,1,,1,,3,,,,,,1,,,,,,,,,,,72
